time,data0,data1,data2,data3,data4,data5,data6,data7,data8
1724676679.4713068,9.999999322958033,9.999999189498354,9.999999003460017,10.0,10.0,10.0,1.264916302559994,1.264916302559994,0.0
1724676679.4723458,9.999999434361474,9.999999322958033,9.999999189498354,10.0,10.0,10.0,1.2649154367888054,1.2649154367888054,0.0
1724676679.4732852,9.999999522856895,9.999999434361474,9.999999322958033,10.0,10.0,10.0,1.2649145358613183,1.2649145358613183,0.0
1724676679.474281,9.99999959567236,9.999999522856895,9.999999434361474,10.0,10.0,10.0,1.264913919974115,1.264913919974115,0.0
1724676679.475293,9.999999655520723,9.99999959567236,9.999999522856895,10.0,10.0,10.0,1.2649134106208118,1.2649134106208118,0.0
1724676679.4763012,9.999999705340173,9.999999655520723,9.99999959567236,10.0,10.0,10.0,1.2649130169040226,1.2649130169040226,0.0
1724676679.4772396,9.999999747051184,9.999999705340173,9.999999655520723,10.0,10.0,10.0,1.2649126986719246,1.2649126986719246,0.0
1724676679.4782846,9.999999782228558,9.999999747051184,9.999999705340173,10.0,10.0,10.0,1.26491244234549,1.26491244234549,0.0
1724676679.4793499,9.999999812056611,9.999999782228558,9.999999747051184,10.0,10.0,10.0,1.2649122325467488,1.2649122325467488,0.0
1724676679.4802907,9.999999837474972,9.999999812056611,9.999999782228558,10.0,10.0,10.0,1.2649120596525392,1.2649120596525392,0.0
1724676679.481308,9.999999859224003,9.999999837474972,9.999999812056611,10.0,10.0,10.0,1.2649119158241002,1.2649119158241002,0.0
1724676679.4823396,9.999999877898212,9.999999859224003,9.999999837474972,10.0,10.0,10.0,1.2649117953272124,1.2649117953272124,0.0
1724676679.4834864,9.999999893978519,9.999999877898212,9.999999859224003,10.0,10.0,10.0,1.2649116936975295,1.2649116936975295,0.0
1724676679.4843066,9.999999910033168,9.999999893978519,9.999999877898212,10.0,10.0,10.0,1.2649116936975295,1.2649116936975295,0.0
1724676679.4853368,9.9999999225594,9.999999910033168,9.999999893978519,10.0,10.0,10.0,1.264911554862011,1.264911554862011,0.0
1724676679.4864225,9.999999933424407,9.9999999225594,9.999999910033168,10.0,10.0,10.0,1.2649114898105855,1.2649114898105855,0.0
1724676679.4873986,9.999999944272075,9.999999933424407,9.9999999225594,10.0,10.0,10.0,1.2649114898105855,1.2649114898105855,0.0
1724676679.488312,9.999999952480705,9.999999944272075,9.999999933424407,10.0,10.0,10.0,1.2649113858966503,1.2649113858966503,0.0
