time,data
1721208178.1281915,2.9950764342999565
1721208178.129142,2.784200572920912
1721208178.1301472,2.5973288281681883
1721208178.1311724,2.4322529539712865
1721208178.1322293,2.2867944709419588
1721208178.1331248,2.1588753231996645
1721208178.1341739,2.0465573913189035
1721208178.1351457,1.9480615726558308
1721208178.1362023,1.8617735115407474
1721208178.1372144,1.7862409280480311
1721208178.1381538,1.720165873415581
1721208178.1392179,1.6623941598187812
1721208178.140161,1.611903449441875
1721208178.1411884,1.5677909676038557
1721208178.1421547,1.529261446944171
1721208178.1431787,1.4956156673950243
1721208178.1441863,1.4662397937720555
1721208178.1451857,1.4405956051083626
1721208178.146181,1.4182116400668936
1721208178.1471772,1.3986752389326407
1721208178.1481838,1.3816254364583402
1721208178.1491842,1.3667466454303832
1721208178.150166,1.353763064231128
1721208178.1511676,1.3424337401059339
1721208178.1521666,1.3325482214820858
1721208178.153181,1.3239227361650758
1721208178.1541753,1.3163968367883745
1721208178.1551733,1.3098304598693666
1721208178.1561825,1.3041013499172296
1721208178.157163,1.2991028049945712
1721208178.158189,1.294741704825169
1721208178.1592069,1.290936786879485
1721208178.1601954,1.2876171398544811
1721208178.1612382,1.2847208875499319
1721208178.1621644,1.2821940393764573
1721208178.1631672,1.2799894866084272
1721208178.1641808,1.2780661260464417
1721208178.1651888,1.2763880950239186
1721208178.166201,1.2749241036832866
1721208178.1671977,1.2736468522039968
1721208178.1681964,1.2725325222139927
1721208178.1692803,1.2715603329664773
1721208178.170217,1.2707121540455353
1721208178.1712098,1.269972167433093
1721208178.1722028,1.2693265726263254
1721208178.1731951,1.2687633293557499
1721208178.1741967,1.268271933097807
1721208178.1751919,1.2678432192051148
1721208178.1761646,1.2678432192051148
1721208178.177205,1.2672332447146222
1721208178.1782587,1.266939082266588
1721208178.179419,1.26662513481625
1721208178.180164,1.2663866655579634
1721208178.1812158,1.2661780354953174
1721208178.182212,1.266004215601781
1721208178.1832044,1.2658554436789595
1721208178.18427,1.2657286519378177
1721208178.1851676,1.2656198201202085
1721208178.1861765,1.2655262403367902
1721208178.187196,1.2654455250254382
1721208178.1881938,1.265375771751975
1721208178.1892214,1.265315381174573
1721208178.1901758,1.2652630230336657
1721208178.191255,1.2652175750187025
1721208178.1921656,1.265178087490393
1721208178.193191,1.265143751875693
1721208178.1941574,1.265143751875693
1721208178.1951785,1.265113877073747
1721208178.196187,1.2650762220012457
1721208178.1971796,1.2650507769730954
1721208178.1981792,1.2650285488237152
1721208178.1992812,1.265010903664221
1721208178.2001786,1.2649961448295668
1721208178.2012897,1.2649839170612058
1721208178.2021148,1.2649839170612058
1721208178.2039115,1.2649674510909035
1721208178.2041745,1.2649598277465044
1721208178.2051728,1.264951746503411
1721208178.2061927,1.264945770786694
1721208178.207165,1.2649406128352234
1721208178.2081728,1.2649363883383271
1721208178.2091553,1.2649328171627257
1721208178.210191,1.2649298089927257
1721208178.2112076,1.2649272512133762
1721208178.2121456,1.2649250697209322
1721208178.2131586,1.2649232007101547
1721208178.2141645,1.264921594558466
1721208178.2152524,1.2649202103953605
1721208178.2161574,1.2649190148880929
1721208178.217169,1.264917980385485
1721208178.2181845,1.264917083841408
1721208178.2191923,1.264916305884096
1721208178.2200935,1.2649156301393374
1721208178.2212014,1.2649150426893492
1721208178.2221782,1.2649145316516786
1721208178.223164,1.2649140868431468
1721208178.2242055,1.2649136995074883
1721208178.2252054,1.2649133620971642
